"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","495","Создание продукта без заполнения обязательного поля","tests.api","Mon Feb 23 02:01:16 UTC 2026","passed","Mon Feb 23 02:01:17 UTC 2026","TestProductNegative","test_product","",""
"","1650","Навигация по ссылкам в хедере при авторизованном состоянии","tests.ui","Mon Feb 23 02:03:30 UTC 2026","passed","Mon Feb 23 02:03:32 UTC 2026","TestHeader","test_header","",""
"","284","Удаление существующего пользователя","tests.api","Mon Feb 23 02:01:25 UTC 2026","passed","Mon Feb 23 02:01:25 UTC 2026","TestUserPositive","test_user","",""
"","1128","Добавление единицы продукта в корзину","tests.api","Mon Feb 23 02:00:57 UTC 2026","passed","Mon Feb 23 02:00:58 UTC 2026","TestCartPositive","test_cart","",""
"","530","Отображение главной страницы","tests.ui","Mon Feb 23 02:03:36 UTC 2026","passed","Mon Feb 23 02:03:37 UTC 2026","TestHomePage","test_home_page","",""
"","708","Создание продукта без заполнения обязательного поля","tests.api","Mon Feb 23 02:01:20 UTC 2026","passed","Mon Feb 23 02:01:20 UTC 2026","TestProductNegative","test_product","",""
"","6","Создание пользователя с уже зарегистрированным email","tests.api","Mon Feb 23 02:01:28 UTC 2026","passed","Mon Feb 23 02:01:28 UTC 2026","TestUserNegative","test_user","",""
"","20","Регистрация пользователя с зарегистрированным email","tests.api","Mon Feb 23 02:00:49 UTC 2026","passed","Mon Feb 23 02:00:49 UTC 2026","TestAuthenticationNegative","test_authentication","",""
"","414","Отображение страницы логина","tests.ui.test_authentication","Mon Feb 23 02:03:15 UTC 2026","passed","Mon Feb 23 02:03:16 UTC 2026","TestLogin","test_login_page","",""
"","679","Открытие карточки товара","tests.ui","Mon Feb 23 02:03:44 UTC 2026","passed","Mon Feb 23 02:03:44 UTC 2026","TestHomePage","test_home_page","",""
"","517","Создание пользователя с невалидным email","tests.api","Mon Feb 23 02:01:26 UTC 2026","passed","Mon Feb 23 02:01:26 UTC 2026","TestUserNegative","test_user","",""
"","1644","Добавление товара в корзину с авторизацией","tests.ui","Mon Feb 23 02:03:45 UTC 2026","passed","Mon Feb 23 02:03:46 UTC 2026","TestHomePage","test_home_page","",""
"","226","Создание продукта с данными в невалидном формате","tests.api","Mon Feb 23 02:01:13 UTC 2026","passed","Mon Feb 23 02:01:13 UTC 2026","TestProductNegative","test_product","",""
"","13","Получение списка заказов","tests.api","Mon Feb 23 02:01:09 UTC 2026","passed","Mon Feb 23 02:01:09 UTC 2026","TestOrderPositive","test_order","",""
