"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1218","Регистрация нового пользователя","tests.ui.test_authentication","Sun Feb 22 03:01:20 UTC 2026","passed","Sun Feb 22 03:01:21 UTC 2026","TestRegistration","test_registration_page","",""
"","26","Создание пользователя с невалидным паролем","tests.api","Sun Feb 22 02:59:30 UTC 2026","passed","Sun Feb 22 02:59:30 UTC 2026","TestUserNegative","test_user","",""
"","14","Регистрация пользователя с зарегистрированным email","tests.api","Sun Feb 22 02:58:50 UTC 2026","passed","Sun Feb 22 02:58:50 UTC 2026","TestAuthenticationNegative","test_authentication","",""
"","2870","Полная очистка корзины","tests.ui","Sun Feb 22 03:01:26 UTC 2026","passed","Sun Feb 22 03:01:29 UTC 2026","TestCartPage","test_cart_page","",""
"","437","Отображение страницы товара с авторизацией","tests.ui","Sun Feb 22 03:02:01 UTC 2026","passed","Sun Feb 22 03:02:01 UTC 2026","TestProductDetailPage","test_product_detail_page","",""
"","275","Регистрация пользователя с валидными данными","tests.api","Sun Feb 22 02:58:48 UTC 2026","passed","Sun Feb 22 02:58:48 UTC 2026","TestAuthenticationPositive","test_authentication","",""
"","15","Удаление существующего продукта","tests.api","Sun Feb 22 02:59:21 UTC 2026","passed","Sun Feb 22 02:59:21 UTC 2026","TestProductPositive","test_product","",""
"","744","Открытие карточки товара","tests.ui","Sun Feb 22 03:01:40 UTC 2026","passed","Sun Feb 22 03:01:41 UTC 2026","TestHomePage","test_home_page","",""
"","899","Выход из аккаунта","tests.ui","Sun Feb 22 03:01:35 UTC 2026","passed","Sun Feb 22 03:01:36 UTC 2026","TestHeader","test_header","",""
"","11","Удаление корзины","tests.api","Sun Feb 22 02:59:00 UTC 2026","passed","Sun Feb 22 02:59:00 UTC 2026","TestCartPositive","test_cart","",""
"","493","Отображение страницы регистрации","tests.ui.test_authentication","Sun Feb 22 03:01:19 UTC 2026","passed","Sun Feb 22 03:01:19 UTC 2026","TestRegistration","test_registration_page","",""
"","513","Логин пользователя с невалидным форматом email и валидным паролем","tests.api","Sun Feb 22 02:58:54 UTC 2026","passed","Sun Feb 22 02:58:55 UTC 2026","TestAuthenticationNegative","test_authentication","",""
