"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25","Создание пользователя с невалидным телефоном","tests.api","Mon Feb 23 05:31:09 UTC 2026","passed","Mon Feb 23 05:31:09 UTC 2026","TestUserNegative","test_user","",""
"","445","Добавление товара без наличия в корзину","tests.api","Mon Feb 23 05:30:56 UTC 2026","passed","Mon Feb 23 05:30:56 UTC 2026","TestCartNegative","test_cart","",""
"","8","Удаление существующего продукта","tests.api","Mon Feb 23 05:30:56 UTC 2026","passed","Mon Feb 23 05:30:56 UTC 2026","TestProductPositive","test_product","",""
"","281","Создание пользователя с невалидным паролем","tests.api","Mon Feb 23 05:31:07 UTC 2026","passed","Mon Feb 23 05:31:07 UTC 2026","TestUserNegative","test_user","",""
"","12","Логин пользователя с невалидным форматом email и валидным паролем","tests.api","Mon Feb 23 05:30:34 UTC 2026","passed","Mon Feb 23 05:30:34 UTC 2026","TestAuthenticationNegative","test_authentication","",""
"","512","Создание пользователя с невалидным телефоном","tests.api","Mon Feb 23 05:31:07 UTC 2026","passed","Mon Feb 23 05:31:08 UTC 2026","TestUserNegative","test_user","",""
"","710","Добавление количества одного товара в корзину больше чем доступно","tests.api","Mon Feb 23 05:30:41 UTC 2026","passed","Mon Feb 23 05:30:42 UTC 2026","TestCartNegative","test_cart","",""
"","11","Получение текущего пользователя","tests.api","Mon Feb 23 05:31:05 UTC 2026","passed","Mon Feb 23 05:31:05 UTC 2026","TestUserPositive","test_user","",""
"","743","Добавление товара в корзину с авторизацией","tests.ui","Mon Feb 23 05:33:41 UTC 2026","passed","Mon Feb 23 05:33:42 UTC 2026","TestProductDetailPage","test_product_detail_page","",""
"","422","Отображение главной страницы","tests.ui","Mon Feb 23 05:33:27 UTC 2026","passed","Mon Feb 23 05:33:28 UTC 2026","TestHomePage","test_home_page","",""
"","497","Отображение корзины с товаром","tests.ui","Mon Feb 23 05:33:10 UTC 2026","passed","Mon Feb 23 05:33:11 UTC 2026","TestCartPage","test_cart_page","",""
"","526","Создание пользователя с невалидным телефоном","tests.api","Mon Feb 23 05:31:08 UTC 2026","passed","Mon Feb 23 05:31:09 UTC 2026","TestUserNegative","test_user","",""
"","263","Создание пользователя с невалидным паролем","tests.api","Mon Feb 23 05:31:07 UTC 2026","passed","Mon Feb 23 05:31:07 UTC 2026","TestUserNegative","test_user","",""
