"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19","Полное обновление существующего продукта","tests.api","Mon Feb 23 05:09:58 UTC 2026","passed","Mon Feb 23 05:09:58 UTC 2026","TestProductPositive","test_product","",""
"","15","Логин пользователя с невалидным форматом email и валидным паролем","tests.api","Mon Feb 23 05:09:38 UTC 2026","passed","Mon Feb 23 05:09:38 UTC 2026","TestAuthenticationNegative","test_authentication","",""
"","499","Создание пользователя с невалидным паролем","tests.api","Mon Feb 23 05:10:11 UTC 2026","passed","Mon Feb 23 05:10:11 UTC 2026","TestUserNegative","test_user","",""
"","474","Создание продукта с данными в невалидном формате","tests.api","Mon Feb 23 05:10:02 UTC 2026","passed","Mon Feb 23 05:10:03 UTC 2026","TestProductNegative","test_product","",""
"","6","Регистрация пользователя с зарегистрированным email","tests.api","Mon Feb 23 05:09:37 UTC 2026","passed","Mon Feb 23 05:09:37 UTC 2026","TestAuthenticationNegative","test_authentication","",""
"","264","Создание пользователя с невалидным паролем","tests.api","Mon Feb 23 05:10:11 UTC 2026","passed","Mon Feb 23 05:10:12 UTC 2026","TestUserNegative","test_user","",""
"","786","Регистрация нового пользователя","tests.ui.test_authentication","Mon Feb 23 05:11:58 UTC 2026","passed","Mon Feb 23 05:11:59 UTC 2026","TestRegistration","test_registration_page","",""
"","265","Логин пользователя с невалидным форматом email и валидным паролем","tests.api","Mon Feb 23 05:09:37 UTC 2026","passed","Mon Feb 23 05:09:37 UTC 2026","TestAuthenticationNegative","test_authentication","",""
"","13","Получение заказа по id","tests.api","Mon Feb 23 05:09:52 UTC 2026","passed","Mon Feb 23 05:09:52 UTC 2026","TestOrderPositive","test_order","",""
"","30","Добавление единицы продукта в корзину","tests.api","Mon Feb 23 05:09:41 UTC 2026","passed","Mon Feb 23 05:09:41 UTC 2026","TestCartPositive","test_cart","",""
"","530","Добавление товара в корзину без авторизации","tests.ui","Mon Feb 23 05:12:36 UTC 2026","passed","Mon Feb 23 05:12:37 UTC 2026","TestProductDetailPage","test_product_detail_page","",""
"","782","Отображение страницы товара с авторизацией","tests.ui","Mon Feb 23 05:12:32 UTC 2026","passed","Mon Feb 23 05:12:32 UTC 2026","TestProductDetailPage","test_product_detail_page","",""
"","235","Логин пользователя с невалидным форматом email и валидным паролем","tests.api","Mon Feb 23 05:09:35 UTC 2026","passed","Mon Feb 23 05:09:35 UTC 2026","TestAuthenticationNegative","test_authentication","",""
"","2695","Полная очистка корзины","tests.ui","Mon Feb 23 05:12:06 UTC 2026","passed","Mon Feb 23 05:12:08 UTC 2026","TestCartPage","test_cart_page","",""
"","740","Выход из аккаунта","tests.ui","Mon Feb 23 05:12:19 UTC 2026","passed","Mon Feb 23 05:12:19 UTC 2026","TestHeader","test_header","",""
"","369","Отображение страницы логина","tests.ui.test_authentication","Mon Feb 23 05:11:58 UTC 2026","passed","Mon Feb 23 05:11:59 UTC 2026","TestLogin","test_login_page","",""
"","871","Навигация по ссылкам в хедере при неавторизованном состоянии","tests.ui","Mon Feb 23 05:12:20 UTC 2026","passed","Mon Feb 23 05:12:21 UTC 2026","TestHeader","test_header","",""
"","19","Частичное обновление существующего продукта","tests.api","Mon Feb 23 05:10:00 UTC 2026","passed","Mon Feb 23 05:10:00 UTC 2026","TestProductPositive","test_product","",""
"","448","Получение существующего пользователя","tests.api","Mon Feb 23 05:10:08 UTC 2026","passed","Mon Feb 23 05:10:08 UTC 2026","TestUserPositive","test_user","",""
