"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","273","Логин пользователя с валидными данными","tests.api","Fri Feb 20 04:57:16 UTC 2026","passed","Fri Feb 20 04:57:16 UTC 2026","TestAuthenticationPositive","test_authentication","",""
"","313","Выход из аккаунта","tests.ui","Fri Feb 20 05:00:19 UTC 2026","passed","Fri Feb 20 05:00:20 UTC 2026","TestHeader","test_header","",""
"","22","Создание заказа","tests.api","Fri Feb 20 04:57:26 UTC 2026","passed","Fri Feb 20 04:57:27 UTC 2026","TestOrderPositive","test_order","",""
"","252","Отображение пустого списка заказов","tests.ui.test_orders","Fri Feb 20 05:00:30 UTC 2026","passed","Fri Feb 20 05:00:30 UTC 2026","TestOrdersList","test_orders_list_page","",""
"","222","Открытие карточки товара","tests.ui","Fri Feb 20 05:00:26 UTC 2026","passed","Fri Feb 20 05:00:26 UTC 2026","TestHomePage","test_home_page","",""
"","261","Логин пользователя с валидным, но не зарегистрированным email и валидным паролем","tests.api","Fri Feb 20 04:57:19 UTC 2026","passed","Fri Feb 20 04:57:19 UTC 2026","TestAuthenticationNegative","test_authentication","",""
"","291","Добавление товара в корзину без авторизации","tests.ui","Fri Feb 20 05:00:36 UTC 2026","passed","Fri Feb 20 05:00:36 UTC 2026","TestProductDetailPage","test_product_detail_page","",""
"","679","Создание продукта с валидными данными","tests.api","Fri Feb 20 04:57:35 UTC 2026","passed","Fri Feb 20 04:57:36 UTC 2026","TestProductPositive","test_product","",""
"","674","Создание продукта с данными в невалидном формате","tests.api","Fri Feb 20 04:57:44 UTC 2026","passed","Fri Feb 20 04:57:45 UTC 2026","TestProductNegative","test_product","",""
"","14","Получение существующего пользователя","tests.api","Fri Feb 20 04:57:50 UTC 2026","passed","Fri Feb 20 04:57:50 UTC 2026","TestUserPositive","test_user","",""
"","750","Создание пользователя с невалидным паролем","tests.api","Fri Feb 20 04:57:53 UTC 2026","passed","Fri Feb 20 04:57:54 UTC 2026","TestUserNegative","test_user","",""
"","177","Отображение пустой корзины","tests.ui","Fri Feb 20 05:00:08 UTC 2026","passed","Fri Feb 20 05:00:08 UTC 2026","TestCartPage","test_cart_page","",""
"","199","Открытие карточки товара","tests.ui","Fri Feb 20 05:00:23 UTC 2026","passed","Fri Feb 20 05:00:23 UTC 2026","TestHomePage","test_home_page","",""
"","754","Создание продукта с некорректным URL изображения","tests.api","Fri Feb 20 04:57:48 UTC 2026","passed","Fri Feb 20 04:57:49 UTC 2026","TestProductNegative","test_product","",""
"","368","Отображение корзины с товаром","tests.ui","Fri Feb 20 05:00:11 UTC 2026","passed","Fri Feb 20 05:00:11 UTC 2026","TestCartPage","test_cart_page","",""
"","706","Логин пользователя с невалидным форматом email и валидным паролем","tests.api","Fri Feb 20 04:57:18 UTC 2026","passed","Fri Feb 20 04:57:19 UTC 2026","TestAuthenticationNegative","test_authentication","",""
"","20","Создание пользователя с невалидным телефоном","tests.api","Fri Feb 20 04:57:55 UTC 2026","passed","Fri Feb 20 04:57:55 UTC 2026","TestUserNegative","test_user","",""
"","24","Создание пользователя с невалидным телефоном","tests.api","Fri Feb 20 04:57:54 UTC 2026","passed","Fri Feb 20 04:57:54 UTC 2026","TestUserNegative","test_user","",""
"","525","Отображение страницы оформления заказа","tests.ui","Fri Feb 20 05:00:27 UTC 2026","passed","Fri Feb 20 05:00:27 UTC 2026","TestCheckoutPage","test_checkout_page","",""
"","534","Навигация по ссылкам в хедере при неавторизованном состоянии","tests.ui","Fri Feb 20 05:00:16 UTC 2026","passed","Fri Feb 20 05:00:17 UTC 2026","TestHeader","test_header","",""
"","160","Логин пользователя с невалидным форматом email и валидным паролем","tests.api","Fri Feb 20 04:57:21 UTC 2026","passed","Fri Feb 20 04:57:21 UTC 2026","TestAuthenticationNegative","test_authentication","",""
"","434","Создание продукта с данными в невалидном формате","tests.api","Fri Feb 20 04:57:40 UTC 2026","passed","Fri Feb 20 04:57:41 UTC 2026","TestProductNegative","test_product","",""
"","18","Обновление данных существующего пользователя","tests.api","Fri Feb 20 04:57:51 UTC 2026","passed","Fri Feb 20 04:57:51 UTC 2026","TestUserPositive","test_user","",""
"","17","Удаление существующего пользователя","tests.api","Fri Feb 20 04:57:54 UTC 2026","passed","Fri Feb 20 04:57:54 UTC 2026","TestUserPositive","test_user","",""
"","269","Логин админа с валидными данными","tests.api","Fri Feb 20 04:57:19 UTC 2026","passed","Fri Feb 20 04:57:19 UTC 2026","TestAuthenticationPositive","test_authentication","",""
"","26","Получение данных корзины","tests.api","Fri Feb 20 04:57:30 UTC 2026","passed","Fri Feb 20 04:57:30 UTC 2026","TestCartPositive","test_cart","",""
"","268","Получение существующего продукта","tests.api","Fri Feb 20 04:57:42 UTC 2026","passed","Fri Feb 20 04:57:42 UTC 2026","TestProductPositive","test_product","",""
"","620","Добавление товара в корзину с авторизацией","tests.ui","Fri Feb 20 05:00:34 UTC 2026","passed","Fri Feb 20 05:00:35 UTC 2026","TestProductDetailPage","test_product_detail_page","",""
"","158","Логин пользователя с невалидным форматом email и валидным паролем","tests.api","Fri Feb 20 04:57:21 UTC 2026","passed","Fri Feb 20 04:57:21 UTC 2026","TestAuthenticationNegative","test_authentication","",""
"","221","Отображение главной страницы","tests.ui","Fri Feb 20 05:00:21 UTC 2026","passed","Fri Feb 20 05:00:21 UTC 2026","TestHomePage","test_home_page","",""
"","682","Создание продукта с данными в невалидном формате","tests.api","Fri Feb 20 04:57:41 UTC 2026","passed","Fri Feb 20 04:57:42 UTC 2026","TestProductNegative","test_product","",""
"","0","E2E путь пользователя","tests.ui","Fri Feb 20 05:00:15 UTC 2026","skipped","Fri Feb 20 05:00:15 UTC 2026","TestE2E","test_e2e","",""
"","266","Создание пользователя с невалидным email","tests.api","Fri Feb 20 04:57:52 UTC 2026","passed","Fri Feb 20 04:57:52 UTC 2026","TestUserNegative","test_user","",""
"","483","Создание пользователя с невалидным email","tests.api","Fri Feb 20 04:57:52 UTC 2026","passed","Fri Feb 20 04:57:53 UTC 2026","TestUserNegative","test_user","",""
"","2472","Оформление заказа","tests.ui","Fri Feb 20 05:00:12 UTC 2026","passed","Fri Feb 20 05:00:15 UTC 2026","TestCheckoutPage","test_checkout_page","",""
"","648","Регистрация нового пользователя","tests.ui.test_authentication","Fri Feb 20 05:00:06 UTC 2026","passed","Fri Feb 20 05:00:07 UTC 2026","TestRegistration","test_registration_page","",""
"","12","Получение заказа по id","tests.api","Fri Feb 20 04:57:33 UTC 2026","passed","Fri Feb 20 04:57:33 UTC 2026","TestOrderPositive","test_order","",""
"","20","Логин пользователя с невалидным форматом email и валидным паролем","tests.api","Fri Feb 20 04:57:16 UTC 2026","passed","Fri Feb 20 04:57:16 UTC 2026","TestAuthenticationNegative","test_authentication","",""
"","26","Создание пользователя с невалидным телефоном","tests.api","Fri Feb 20 04:57:55 UTC 2026","passed","Fri Feb 20 04:57:55 UTC 2026","TestUserNegative","test_user","",""
"","25","Получение списка продуктов","tests.api","Fri Feb 20 04:57:48 UTC 2026","passed","Fri Feb 20 04:57:48 UTC 2026","TestProductPositive","test_product","",""
"","7","Создание пользователя с уже зарегистрированным email","tests.api","Fri Feb 20 04:57:56 UTC 2026","passed","Fri Feb 20 04:57:56 UTC 2026","TestUserNegative","test_user","",""
"","466","Создание продукта без заполнения обязательного поля","tests.api","Fri Feb 20 04:57:45 UTC 2026","passed","Fri Feb 20 04:57:45 UTC 2026","TestProductNegative","test_product","",""
"","226","Удаление товара из корзины","tests.ui","Fri Feb 20 05:00:19 UTC 2026","passed","Fri Feb 20 05:00:19 UTC 2026","TestCartPage","test_cart_page","",""
"","212","Создание пользователя с невалидным email","tests.api","Fri Feb 20 04:57:51 UTC 2026","passed","Fri Feb 20 04:57:51 UTC 2026","TestUserNegative","test_user","",""
"","742","Частичное обновление существующего продукта","tests.api","Fri Feb 20 04:57:39 UTC 2026","passed","Fri Feb 20 04:57:39 UTC 2026","TestProductPositive","test_product","",""
"","200","Получение текущего пользователя","tests.api","Fri Feb 20 04:57:51 UTC 2026","passed","Fri Feb 20 04:57:51 UTC 2026","TestUserPositive","test_user","",""
"","380","Отображение хедера в авторизованном состоянии","tests.ui","Fri Feb 20 05:00:16 UTC 2026","passed","Fri Feb 20 05:00:16 UTC 2026","TestHeader","test_header","",""
"","31","Создание пользователя с невалидным паролем","tests.api","Fri Feb 20 04:57:54 UTC 2026","passed","Fri Feb 20 04:57:54 UTC 2026","TestUserNegative","test_user","",""
"","14","Создание заказа с удаленной корзиной","tests.api","Fri Feb 20 04:57:32 UTC 2026","passed","Fri Feb 20 04:57:32 UTC 2026","TestOrderNegative","test_order","",""
"","204","Добавление товара в корзину без авторизации","tests.ui","Fri Feb 20 05:00:29 UTC 2026","passed","Fri Feb 20 05:00:29 UTC 2026","TestHomePage","test_home_page","",""
"","247","Создание продукта с некорректным URL изображения","tests.api","Fri Feb 20 04:57:48 UTC 2026","passed","Fri Feb 20 04:57:48 UTC 2026","TestProductNegative","test_product","",""
"","169","Отображение страницы детального заказа","tests.ui.test_orders","Fri Feb 20 05:00:34 UTC 2026","passed","Fri Feb 20 05:00:34 UTC 2026","TestDetailOrderPage","test_detail_order_page","",""
"","509","Создание заказа если один из продуктов недоступен","tests.api","Fri Feb 20 04:57:26 UTC 2026","passed","Fri Feb 20 04:57:26 UTC 2026","TestOrderNegative","test_order","",""
