"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","266","Добавление единицы продукта в корзину","tests.api","Fri Feb 20 04:11:56 UTC 2026","passed","Fri Feb 20 04:11:57 UTC 2026","TestCartPositive","test_cart","",""
"","22","Создание пользователя с невалидным email","tests.api","Fri Feb 20 04:12:25 UTC 2026","passed","Fri Feb 20 04:12:25 UTC 2026","TestUserNegative","test_user","",""
"","26","Создание пользователя с невалидным паролем","tests.api","Fri Feb 20 04:12:29 UTC 2026","passed","Fri Feb 20 04:12:29 UTC 2026","TestUserNegative","test_user","",""
"","797","Создание продукта без заполнения обязательного поля","tests.api","Fri Feb 20 04:12:18 UTC 2026","passed","Fri Feb 20 04:12:19 UTC 2026","TestProductNegative","test_product","",""
"","249","Получение текущего пользователя","tests.api","Fri Feb 20 04:12:26 UTC 2026","passed","Fri Feb 20 04:12:27 UTC 2026","TestUserPositive","test_user","",""
"","16","Удаление корзины","tests.api","Fri Feb 20 04:11:59 UTC 2026","passed","Fri Feb 20 04:11:59 UTC 2026","TestCartPositive","test_cart","",""
"","256","Создание продукта с данными в невалидном формате","tests.api","Fri Feb 20 04:12:15 UTC 2026","passed","Fri Feb 20 04:12:15 UTC 2026","TestProductNegative","test_product","",""
"","835","Добавление количества одного товара в корзину больше чем доступно","tests.api","Fri Feb 20 04:12:12 UTC 2026","passed","Fri Feb 20 04:12:12 UTC 2026","TestCartNegative","test_cart","",""
"","236","Отображение хедера в авторизованном состоянии","tests.ui","Fri Feb 20 04:14:40 UTC 2026","passed","Fri Feb 20 04:14:40 UTC 2026","TestHeader","test_header","",""
"","11","Удаление существующего продукта","tests.api","Fri Feb 20 04:12:18 UTC 2026","passed","Fri Feb 20 04:12:18 UTC 2026","TestProductPositive","test_product","",""
"","554","Создание заказа","tests.api","Fri Feb 20 04:11:59 UTC 2026","passed","Fri Feb 20 04:11:59 UTC 2026","TestOrderPositive","test_order","",""
"","1199","Логин существующего пользователя","tests.ui.test_authentication","Fri Feb 20 04:14:27 UTC 2026","passed","Fri Feb 20 04:14:28 UTC 2026","TestLogin","test_login_page","",""
"","306","Отображение главной страницы","tests.ui","Fri Feb 20 04:14:39 UTC 2026","passed","Fri Feb 20 04:14:40 UTC 2026","TestHomePage","test_home_page","",""
"","351","Отображение списка заказов с заказом","tests.ui.test_orders","Fri Feb 20 04:14:53 UTC 2026","passed","Fri Feb 20 04:14:53 UTC 2026","TestOrdersList","test_orders_list_page","",""
"","20","Логин пользователя с невалидным форматом email и валидным паролем","tests.api","Fri Feb 20 04:11:48 UTC 2026","passed","Fri Feb 20 04:11:48 UTC 2026","TestAuthenticationNegative","test_authentication","",""
"","335","Отображение страницы регистрации","tests.ui.test_authentication","Fri Feb 20 04:14:25 UTC 2026","passed","Fri Feb 20 04:14:25 UTC 2026","TestRegistration","test_registration_page","",""
"","532","Логин админа с валидными данными","tests.api","Fri Feb 20 04:11:50 UTC 2026","passed","Fri Feb 20 04:11:51 UTC 2026","TestAuthenticationPositive","test_authentication","",""
"","1431","Добавление товара без наличия в корзину","tests.api","Fri Feb 20 04:12:03 UTC 2026","passed","Fri Feb 20 04:12:05 UTC 2026","TestCartNegative","test_cart","",""
"","14","Получение существующего пользователя","tests.api","Fri Feb 20 04:12:24 UTC 2026","passed","Fri Feb 20 04:12:24 UTC 2026","TestUserPositive","test_user","",""
"","249","Создание пользователя с невалидным email","tests.api","Fri Feb 20 04:12:26 UTC 2026","passed","Fri Feb 20 04:12:27 UTC 2026","TestUserNegative","test_user","",""
"","24","Получение списка продуктов","tests.api","Fri Feb 20 04:12:21 UTC 2026","passed","Fri Feb 20 04:12:21 UTC 2026","TestProductPositive","test_product","",""
"","24","Создание пользователя с невалидным паролем","tests.api","Fri Feb 20 04:12:28 UTC 2026","passed","Fri Feb 20 04:12:28 UTC 2026","TestUserNegative","test_user","",""
"","836","Создание пользователя с невалидным паролем","tests.api","Fri Feb 20 04:12:28 UTC 2026","passed","Fri Feb 20 04:12:29 UTC 2026","TestUserNegative","test_user","",""
"","973","Создание продукта с валидными данными","tests.api","Fri Feb 20 04:12:09 UTC 2026","passed","Fri Feb 20 04:12:10 UTC 2026","TestProductPositive","test_product","",""
