"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","713","Выход из аккаунта","tests.ui","Fri Feb 20 10:58:31 UTC 2026","passed","Fri Feb 20 10:58:32 UTC 2026","TestHeader","test_header","",""
"","1239","Удаление товара из корзины","tests.ui","Fri Feb 20 10:58:31 UTC 2026","passed","Fri Feb 20 10:58:32 UTC 2026","TestCartPage","test_cart_page","",""
"","249","Создание продукта без заполнения обязательного поля","tests.api","Fri Feb 20 10:56:18 UTC 2026","passed","Fri Feb 20 10:56:19 UTC 2026","TestProductNegative","test_product","",""
"","20","Получение списка продуктов","tests.api","Fri Feb 20 10:56:16 UTC 2026","passed","Fri Feb 20 10:56:16 UTC 2026","TestProductPositive","test_product","",""
"","12","Получение существующего продукта","tests.api","Fri Feb 20 10:56:11 UTC 2026","passed","Fri Feb 20 10:56:11 UTC 2026","TestProductPositive","test_product","",""
"","1436","Регистрация нового пользователя","tests.ui.test_authentication","Fri Feb 20 10:58:18 UTC 2026","passed","Fri Feb 20 10:58:20 UTC 2026","TestRegistration","test_registration_page","",""
"","21","Создание пользователя с невалидным email","tests.api","Fri Feb 20 10:56:26 UTC 2026","passed","Fri Feb 20 10:56:26 UTC 2026","TestUserNegative","test_user","",""
"","0","E2E путь пользователя","tests.ui","Fri Feb 20 10:58:29 UTC 2026","skipped","Fri Feb 20 10:58:29 UTC 2026","TestE2E","test_e2e","",""
"","20","Создание пользователя с невалидным email","tests.api","Fri Feb 20 10:56:26 UTC 2026","passed","Fri Feb 20 10:56:26 UTC 2026","TestUserNegative","test_user","",""
"","542","Удаление существующего продукта","tests.api","Fri Feb 20 10:56:16 UTC 2026","passed","Fri Feb 20 10:56:17 UTC 2026","TestProductPositive","test_product","",""
"","455","Создание продукта с данными в невалидном формате","tests.api","Fri Feb 20 10:56:15 UTC 2026","passed","Fri Feb 20 10:56:15 UTC 2026","TestProductNegative","test_product","",""
"","714","Обновление данных существующего пользователя","tests.api","Fri Feb 20 10:56:24 UTC 2026","passed","Fri Feb 20 10:56:25 UTC 2026","TestUserPositive","test_user","",""
"","811","Логин существующего пользователя","tests.ui.test_authentication","Fri Feb 20 10:58:20 UTC 2026","passed","Fri Feb 20 10:58:20 UTC 2026","TestLogin","test_login_page","",""
"","109","Отображение страницы детального заказа","tests.ui.test_orders","Fri Feb 20 10:58:43 UTC 2026","passed","Fri Feb 20 10:58:43 UTC 2026","TestDetailOrderPage","test_detail_order_page","",""
"","517","Создание заказа если один из продуктов недоступен","tests.api","Fri Feb 20 10:55:58 UTC 2026","passed","Fri Feb 20 10:55:59 UTC 2026","TestOrderNegative","test_order","",""
"","414","Логин пользователя с отсутствующим паролем","tests.api","Fri Feb 20 10:55:53 UTC 2026","passed","Fri Feb 20 10:55:54 UTC 2026","TestAuthenticationNegative","test_authentication","",""
"","596","Отображение страницы товара с авторизацией","tests.ui","Fri Feb 20 10:58:45 UTC 2026","passed","Fri Feb 20 10:58:45 UTC 2026","TestProductDetailPage","test_product_detail_page","",""
"","1229","Навигация по ссылкам в хедере при неавторизованном состоянии","tests.ui","Fri Feb 20 10:58:28 UTC 2026","passed","Fri Feb 20 10:58:30 UTC 2026","TestHeader","test_header","",""
"","242","Создание продукта с данными в невалидном формате","tests.api","Fri Feb 20 10:56:16 UTC 2026","passed","Fri Feb 20 10:56:16 UTC 2026","TestProductNegative","test_product","",""
"","278","Добавление товара в корзину без авторизации","tests.ui","Fri Feb 20 10:58:36 UTC 2026","passed","Fri Feb 20 10:58:36 UTC 2026","TestHomePage","test_home_page","",""
"","292","Отображение страницы оформления заказа","tests.ui","Fri Feb 20 10:58:27 UTC 2026","passed","Fri Feb 20 10:58:27 UTC 2026","TestCheckoutPage","test_checkout_page","",""
